
Dashboard: http://127.0.0.1:8888

 * Serving Flask app 'hr_dashboard_v2'
 * Debug mode: off
[ADB] Spojen na 192.168.1.222:5555 - slusam logcat (ignorisem linije starije od 120s)...
[16:47:35]  Puls: 90 bpm  (watch_ts=1779893254, age=1s)
[16:47:35]  Puls: 89 bpm  (watch_ts=1779893255, age=1s)
[16:47:37]  Puls: 90 bpm  (watch_ts=1779893256, age=1s)
[16:47:37]  Puls: 89 bpm  (watch_ts=1779893257, age=1s)
[16:47:38]  Puls: 90 bpm  (watch_ts=1779893258, age=-0s)
[16:47:39]  Puls: 89 bpm  (watch_ts=1779893259, age=1s)
[16:47:43]  Puls: 88 bpm  (watch_ts=1779893262, age=0s)
[16:47:43]  Puls: 89 bpm  (watch_ts=1779893263, age=1s)
[16:47:44]  Puls: 91 bpm  (watch_ts=1779893264, age=-0s)
[16:47:46]  Puls: 90 bpm  (watch_ts=1779893265, age=1s)
[16:47:46]  Puls: 87 bpm  (watch_ts=1779893266, age=1s)
[16:47:47]  Puls: 86 bpm  (watch_ts=1779893267, age=1s)
[16:47:51]  Puls: 84 bpm  (watch_ts=1779893270, age=0s)
[16:47:52]  Puls: 83 bpm  (watch_ts=1779893272, age=-0s)
[16:47:56]  Puls: 82 bpm  (watch_ts=1779893275, age=1s)
[16:48:00]  Puls: 83 bpm  (watch_ts=1779893279, age=0s)
[16:48:01]  Puls: 84 bpm  (watch_ts=1779893280, age=1s)
[16:48:01]  Puls: 85 bpm  (watch_ts=1779893281, age=1s)
[16:48:02]  Puls: 84 bpm  (watch_ts=1779893282, age=-0s)
[16:48:08]  Puls: 85 bpm  (watch_ts=1779893287, age=0s)
[16:48:13]  Puls: 86 bpm  (watch_ts=1779893292, age=0s)
[16:48:14]  Puls: 87 bpm  (watch_ts=1779893294, age=1s)
[16:48:15]  Puls: 88 bpm  (watch_ts=1779893295, age=1s)
[16:48:17]  Puls: 89 bpm  (watch_ts=1779893296, age=1s)
[16:48:17]  Puls: 88 bpm  (watch_ts=1779893297, age=1s)
[16:48:20]  Puls: 89 bpm  (watch_ts=1779893299, age=0s)
[16:48:20]  Puls: 88 bpm  (watch_ts=1779893300, age=1s)
[16:48:21]  Puls: 89 bpm  (watch_ts=1779893301, age=1s)
